,name,description
0,"Hire.Video
",AI powered interview bot
1,"One Word Domains
",Database of all available one word domains
2,"Converso
",Get paid faster by sending your invoices via text
3,"GuestLog
","Simple, secure contact tracing for Businesses"
4,"Prezcall
",Boost your cold calls by enabling content presentation during phone calls
5,"FlyyMaps
","Create, annotate, and collaborate on the best intuitive mapping platform"
6,"TrafficShare
",Quality traffic to your website at no cost
7,"TeamworkIQ App for Zapier
","Automate team workflows, Integrate them with Zapier"
8,"Callshark
",The simplest way to track phone calls to your business
9,"GrowthGenius
",Automate your sales prospecting
10,"Space.bio
","Add links, pages, videos, blogs and much more to your social media bios"
11,"VAL
",An all in one collaborative data operations platform
12,"Wrk
",The simplest way to start hiring for your startup
13,"MILEO.IO
",Manage your Business Model Canvas
14,"Chili Piper Inbox
",Collaborative and intelligent email for revenue teams
15,"Workshop
",Making your company’s meetings focused and actionable
16,"Freddy Feedback
",A feedback widget done differently
17,"VakaChat
",The virtual office for remote teams
18,"Symplete
",Integrated business apps that make it easier to work from anywhere
19,"Pneumatic
",Free workflow platform for startups and small teams
20,"Hire.Video
",AI powered interview bot
21,"One Word Domains
",Database of all available one word domains
22,"Converso
",Get paid faster by sending your invoices via text
23,"GuestLog
","Simple, secure contact tracing for Businesses"
24,"Prezcall
",Boost your cold calls by enabling content presentation during phone calls
25,"FlyyMaps
","Create, annotate, and collaborate on the best intuitive mapping platform"
26,"TrafficShare
",Quality traffic to your website at no cost
27,"TeamworkIQ App for Zapier
","Automate team workflows, Integrate them with Zapier"
28,"Callshark
",The simplest way to track phone calls to your business
29,"GrowthGenius
",Automate your sales prospecting
30,"Space.bio
","Add links, pages, videos, blogs and much more to your social media bios"
31,"VAL
",An all in one collaborative data operations platform
32,"Wrk
",The simplest way to start hiring for your startup
33,"MILEO.IO
",Manage your Business Model Canvas
34,"Chili Piper Inbox
",Collaborative and intelligent email for revenue teams
35,"Workshop
",Making your company’s meetings focused and actionable
36,"Freddy Feedback
",A feedback widget done differently
37,"VakaChat
",The virtual office for remote teams
38,"Symplete
",Integrated business apps that make it easier to work from anywhere
39,"Pneumatic
",Free workflow platform for startups and small teams
40,"Embark
",Employee career development made simple
41,"Kasu
",Launch your own sponsored content channel
42,"GrowthSeeker
",Achieve your product-market fit with exclusive custom content and tips
43,"Faraday
",Build fun mobile experiences with no code for free
44,"ProductPlant
",An online community dedicated to products people
45,"HackerStash
",Fantasy football for startups
46,"The Work From Home List
",A list of WFH resources both hardware and software
47,"Stacker
",Create apps from your Airtable or Google Sheets
48,"Mountain
",Provides affordable primary healthcare
49,"ttyu
","Talk to your users, turn them into fans"
50,"TimeZap
",Take control of your meetings with a shared timer everyone can see
51,"Resoursly
",Navigate Your Projects and Resources Better
52,"One Metric
","Understand, share and improve the numbers that matter to your business"
53,"Hocus
","The fast, easy-to-use timetracker app for freelancers and small teams"
54,"Plansnack
",Business plan template that makes creating a business plan easy
55,"WFH Land
",Work as if you’re in-person on your company's virtual island
56,"SuitKase
",Content Creation Made Easy With Your Mobile phone
57,"ZeBrand
",An automated branding web service that makes jump-starting your brand
58,"Flow
",Smart rules for your bank account
59,"MergeOS
",Automatically merge data into Office to create awesome looking docs
60,"WFH Land
",Work as if you’re in-person on your company's virtual island
61,"SuitKase
",Content Creation Made Easy With Your Mobile phone
62,"ZeBrand
",An automated branding web service that makes jump-starting your brand
63,"Flow
",Smart rules for your bank account
64,"MergeOS
",Automatically merge data into Office to create awesome looking docs
65,"User.com
",An omni-channel marketing and communication platform to connect with users
66,"Scrapbook
",250+ growth tactics for every step of the funnel
67,"Fammio
",Social media monitoring is easy with us
68,"Approvely
",Stripe for High Risk Merchants
69,"Medley
",Social media management made exceptionally easy
70,"Impression Tracker
","Track impressions on banners, articles, and entire web pages"
71,"FaceQuest™
",A developer-friendly 'Face Recognition as a Service'
72,"Sametable
",Organize works in the good old tables with anyone on anything
73,"Gibbous
",Your quest for Payroll & HR Software ends here
74,"Vocal Video
",Create Amazing Social Proof Videos Automagically
75,"HyperDone
",Kanban boards for productivity hackers and entrepreneurs
76,"Kraken
","Manage risk, improve compliance, and scale your business"
77,"Aasaan.ai
","No Code Platform for building, training and deploying data classifiers"
78,"Howamigoing
",An anonymous feedback and public praise platform for remote teams
79,"BudgetBee
",HR application - Innovative budget and benefits management
80,"IdeaBuddy
",All-in-one toolbox for propelling your business ideas
81,"MonetoHQ
",A Simple Financial Overview of Your Business
82,"OrganizeEmail.com
",Get your Gmail inbox under control
83,"Cashflo
",Easy invoicing & simple tools to help you get paid and stay in the green
84,"Work311
","Simple, anonymous web-based workplace hotlines"
85,"Formal Founder
",Business Name Availability Check
86,"Subtask
",Task Management for Teams
87,"Tendii
",A productivity toolset for improving your remote meetings and call
88,"DnsAdBlock
","Block ads, tracking websites, malware, fake news etc"
89,"Notimate
",Boost website conversion with on-site messages
90,"Tardy
",Encourage your employees to be on time
91,"TrackBug
",Start communicating visually by collaborating directly on live websites
92,"Perfect Invoice
",Online Invoicing for Freelancers
93,"Aptly
",The fastest way to Product/Market fit
94,"Posh Tools
",Easily grow your Poshmark business
95,"CloneDesk
",Success Recipes for Your Team
96,"Acute
",In-app widget for collecting feedback
97,"Changeloggy
",Social changelogs for your product
98,"Getretarget.com
",Increase your conversion and lower your advertising costs
99,"Otis.ai
","Launch & manage Facebook, IG and Google ads right from your phone"
100,"Tendii
",A productivity toolset for improving your remote meetings and call
101,"DnsAdBlock
","Block ads, tracking websites, malware, fake news etc"
102,"Notimate
",Boost website conversion with on-site messages
103,"Tardy
",Encourage your employees to be on time
104,"TrackBug
",Start communicating visually by collaborating directly on live websites
105,"Perfect Invoice
",Online Invoicing for Freelancers
106,"Aptly
",The fastest way to Product/Market fit
107,"Posh Tools
",Easily grow your Poshmark business
108,"CloneDesk
",Success Recipes for Your Team
109,"Acute
",In-app widget for collecting feedback
110,"Changeloggy
",Social changelogs for your product
111,"Getretarget.com
",Increase your conversion and lower your advertising costs
112,"Otis.ai
","Launch & manage Facebook, IG and Google ads right from your phone"
113,"OpenStudio
",Business Management Software all-in-one
114,"MuxEmail
","Add Email List, Send Newsletters, For Free"
115,"GitInLog
",Create and maintain a changelog with ease
116,"UnderPinned
",Manage your projects from pitching to getting paid (on time) in one place
117,"Bigin
",The simplest way to manage your pipelines and win more deals
118,"Dashitup
",Dashboard Tooling for Small Teams
119,"NuProxy
",Free proxy list and proxy checker
120,"Rightamin
",All your favorite supplement brands delivered in a convenient pouch!
121,"Octonius
",Better tools for teamwork - digital workplace
122,"LetterWell
",Buy and sell ad space in email newsletters
123,"Prosodian
",On-demand digital marketing and growth hacking platform
124,"Polyture
",Enabling intuitive data science for anyone
125,"PostSeal
",Skip the post office - mail a letter online
126,"LeadMi
",The best way to accurately qualify and convert leads on social channels
127,"Unblock
","Bespoke content, design and management solution for your business"
128,"SaaS Forge
",Turn your idea into a working product
