,name,description
0,"EquitySet
",Get stock ratings and find investment opportunities
1,"Clair
","Imagine banking, minus all the hidden fees"
2,"Yotta Savings
",Saving in an FDIC insured account with the chance to win $10 million
3,"Savology
","Free financial planning in 5 minutes - Plan smart, Save smart."
4,"WALO
",Teach your kids the value of money
5,"YAYZY
",Effortlessly track and reduce your environmental impact
6,"Coro
","Exchange, send and save gold instantly"
7,"Stakin
",Trusted crypto rewards
8,"Lumio
","Track, plan & grow your money"
9,"Kalshi
",Trade on the outcome of events
10,"ZELF
",Receive instant money in your messengers without apps or bank
11,"MoniQ
",Easy expensing automation for startups
12,"Cheddar Budget
",Sync your transactions to Google Sheets
13,"Usefirst
",Find out when you'll be worth $1 million
14,"Quicko | Taxes for Traders
",DIY tax filing for Traders
15,"Donut
",Invest spare change in Bitcoin and grow your savings
16,"Blnq Studio
",Collaborative Prototyping
17,"Club Walrus
",Mobile banking for teenagers in India
18,"hello benji
",Make more time and money with smart finances for self-employed and 1099
19,"CLEO.one
","Test & automate trading strategies, Create radically better trading bots"
20,"EquitySet
",Get stock ratings and find investment opportunities
21,"Clair
","Imagine banking, minus all the hidden fees"
22,"Yotta Savings
",Saving in an FDIC insured account with the chance to win $10 million
23,"Savology
","Free financial planning in 5 minutes - Plan smart, Save smart."
24,"WALO
",Teach your kids the value of money
25,"YAYZY
",Effortlessly track and reduce your environmental impact
26,"Coro
","Exchange, send and save gold instantly"
27,"Stakin
",Trusted crypto rewards
28,"Lumio
","Track, plan & grow your money"
29,"Kalshi
",Trade on the outcome of events
30,"ZELF
",Receive instant money in your messengers without apps or bank
31,"MoniQ
",Easy expensing automation for startups
32,"Cheddar Budget
",Sync your transactions to Google Sheets
33,"Usefirst
",Find out when you'll be worth $1 million
34,"Quicko | Taxes for Traders
",DIY tax filing for Traders
35,"Donut
",Invest spare change in Bitcoin and grow your savings
36,"Blnq Studio
",Collaborative Prototyping
37,"Club Walrus
",Mobile banking for teenagers in India
38,"hello benji
",Make more time and money with smart finances for self-employed and 1099
39,"CLEO.one
","Test & automate trading strategies, Create radically better trading bots"
40,"Deepss AI
",Extract data from invoices and receipts using AI algorithms
41,"Lunafi
",Finance manager for freelancers
42,"Holderlab
",The Easiest Way to Create an Optimal Crypto Portfolio
43,"Halfdollar
",A free spreadsheet budgeting template
44,"CardPointers
",Get the most points out of your credit cards every day
45,"Digital Bank Guide
",Covering the latest and best in digital banking
46,"Cenario
",We make financial forecasting dead simple
47,"Point
","Credit card perks, without the debt"
48,"FinWhaleX
",Real money secured by Steam Market gaming equipment and by cryptocurrency
49,"TillyPay
","Recurring & single payment links, powered by Stripe"
50,"Bloomberg Futures
",Video campaigns mixing live financial data w/ data-driven- & human curation
51,"DARA
",Stop trading on a whim – use data to make better decisions in the markets
52,"PaymentX
",Automated cryptocurrency payroll solution for your business
53,"Dexwallet
",Your first Decentralized Finance wallet
54,"Slate
","Money management made simple, for kids & adults alike"
55,"Bitcompare
",Compare crypto savings accounts and earn up to 12% APR on Bitcoin etc
56,"Cloud Wallet API
",Cloud Wallet is a powerful but simple double-entry ledger API
57,"XanPool
","Crypto Onboarding, Anywhere, Seamlessly"
58,"Monnos
",The All-in-One Account to anyone Sync Crypto Strategies
59,"Jayde
",Get paid on invoices instantly instead of waiting for the due date
60,"Plover
",Helps you automate payment emails sent to your customers
61,"flowpilot
",The easiest way to manage a SMBs cashflow
62,"Revively
",Stop losing out on revenue due to failed payments in Stripe
63,"Finance Stack
",A curated directory of personal finance tools and investment apps
64,"Rift Pay
",Share money and payments in real time with friends
65,"NorthOne Beta
",Branchless banking made for American SMB's
66,"Contra
",Simple & Secure Open Banking
67,"Walrus
",Banking for Teenagers
68,"ChainGraph
",A smart contract analytic platform for the Ethereum blockchain network
69,"Yellowbeam
",An innovative payment service which can be tested now (limited scope)
70,"Weekly Stock Tip
",Beat the stock market with a +90% win ratio
71,"Reloyalty
","Get the perks you deserve as a customer, automatically"
72,"Crypterium
",Whatever you can do with traditional money you can now do with crypto
73,"Emma 2.0
",Your best financial friend
74,"Alternative Capital
",The alternative to VC funding for startups
75,"CoinsCrate
","Track cryptocurrency prices, markets, volumes and much more"
76,"HodlBot
","Create any crypto portfolio, backtest performance, execute it automatically"
77,"RymCard
",Simplest way to manage loyalty cards & track subscriptions
78,"Rebl
",Credit based on your income and expenses
79,"GratiFi
",A debit account with investment-level returns
80,"Chango
","Personal Finance Solution, with financial education built in"
81,"Deel
",Pay all your international contractors in a single click
82,"Huddl
",World's first collaborative investment marketplace
83,"Tilebee
",Keep track and optimize your company expenses in 3rd party services
84,"Coinrule
",Create Automated Trading Rules
85,"Resolve
",A free platform that provides trusted+affordable debt relief options
86,"fintest
",Could you pass a personal finance Stress Test?
87,"Koinly
","Simple, intuitive crypto tracker & tax calculator"
88,"Fliqpay
",Receive payments in Cryptocurrencies
89,"Billen
",Drop-in SaaS subscription management for Stripe
90,"Point
",The first debit card with points
91,"PayHere
",Simplifying recurring payments
92,"Peak Money
","Set goals mindfully, save money easily, and earn rewards constantly"
93,"Qvalia
",The transaction automation platform
94,"Keeper
",Find tax write offs in your bank statements
95,"Spend Together
",Share and manage group expenses
96,"Quadency
",A platform for trading and analyzing crypto assets across exchanges
97,"Covery
",A global risk management and fraud prevention platform
98,"Otis
","Invest in collectibles, fine art, and physical spaces for as little as $100"
99,"billss
",Monitor and pay all your bills from one single place
100,"Send That Invoice
",Dead-simple invoicing for freelancers and contractors - Get that money
101,"Kepler Finance
",Free Curated Blockchain Industry Data
102,"SentimentDesk
",Sentiment Analytics for Unstructured Content
103,"Nummuspay
",Recurring Billing - Subscription Management Platform for SaaS businesses
104,"Portfolio.io
",Build a portfolio of crypto in under 60 seconds
105,"Ethx.me
",Simple and free way to share all your crypto wallet address
106,"Birch.im
","Manage, analyse and forecast your business finances in one place"
107,"Tokenary
",A simple and secure wallet for ETH & ERC-20 tokens
108,"Ember Fund
","Invest In The Entire Cryptocurrency Market, 1 Click & 0 Fees"
109,"Trolley
",Take payments in minutes to validate your startup idea
110,"Glancemetrics
",Your company's finances visualized
111,"Bitwala
",A German bank account with built in cryptocurrency trading
112,"Zap Invoice
",Simple yet powerful invoicing solution
113,"Vapor
",Manage your accounts on the cloud
114,"Blockpit
",Portfolio monitoring and crypto tax reporting made easy
115,"Penta
",Free business bank account - Open online in minutes
116,"Nazca
",Long-Term Crypto Investment Bot
117,"Switcheo Network
",A decentralised Exchange that was initially built on the NEO blockchain
118,"Briqchain
",Makes real estate investing accessible for everyone
119,"Coinlend
","The Lending-Bot for Bitfinex, Poloniex & Quoinex"
120,"Twine
",An app for saving and investing
121,"Finlight.com
",The Virtual Investment Analyst
122,"Popsure
","We make insurance simple to understand, and easy to buy"
123,"Tenno
",Enabling payment in cryptocurrency on website
124,"Shikari
",Cryptocurrency Calculator
125,"Alpha Trading Labs
",Democratizing HFT algo with a comprehensive backtesting platform
126,"Coingapp
",Crypto Arbitrage Opportunities
127,"COINiD
",The next generation Bitcoin wallet that supports offline storage
128,"CBlocks
",A Mystery box for cryptocurrencies
129,"Divvy - Grow Together
",The social-saving app designed to help people do more with money together
130,"Tenno wallet
",A secure web based Ethereum and ERC20 wallet
131,"Monese
",The fastest way to open a GBP and/or an EUR current account
132,"cryptosurance
",Crypto price protection
133,"Bundil
",Easily Invest Your Spare Change Into Cryptocurrency
134,"FirstStep
",Save as you spend
135,"Developcoins
",Create new cryptocurrency like bitcoin
136,"Zensed
",AI Fraud Prevention Like Jell-O
137,"Slice Capital
",Easily invest in startups
138,"Savvy
",Your credit card’s new best friend
139,"Wuabit
",Bitcoin and other cryptos within your favorite messaging app
140,"Astra for iOS
",Mission control for your money
141,"Forex FX
",Tracks trading markets for you
142,"Harvest Platform
",We help consumers fight frivolous bank expenses
143,"Fundra
",We help the world's most impactful organizations
144,"CryptoCoinResources.com
",A Curated Crytpocurrency Resources Directory
145,"Fund$nap
",Personal finance application to show you safe monthly spending
146,"Quanta
",Next generation of hybrid decentralized Crypto exchanges with a focus on security and speed
147,"Pia
",Your personal investment assistant
148,"CoinView
",An all-in-one cryptocurrency management app
149,"HEDGEFUN
",A social network for stock investors
150,"Invoice Station
",Invoicing for small businesses owners and solo-founders
151,"Sixpence
",The first crowdfunding platform to  offer “roundups” for fundraising
152,"Lumi wallet
","Crypto wallet with private keys on client side - Secure, Simple, Handy"
153,"Chango
",Unchain money transfers with family and friends
154,"Cryptometer
","AI aggregator & curator analysis, news, social chatter and data of Crypto"
155,"Crux
",A new kind of bank built for this century
156,"Pricemoon
",FREE $5 in BTC - Real-time iOS Bitcoin alerts app
157,"Coinwoke
",Delightful dashboards and developer-friendly cryptocurrency API
158,"Yogi
",A virtual assistant to help you become a better investor
159,"Titan
","Invest like a hedge fund automatically, without the hassle or high fees"
160,"Pricemoon
",FREE $5 in BTC - Real-time iOS Bitcoin alerts app
161,"Coinwoke
",Delightful dashboards and developer-friendly cryptocurrency API
162,"Yogi
",A virtual assistant to help you become a better investor
163,"Titan
","Invest like a hedge fund automatically, without the hassle or high fees"
164,"ValenToken
",A free coin backed by love and commitment smart contracts
165,"Pei
","Get Bitcoin/USD cashback on any debit or credit card, from purchases made"
166,"Richie Simple
",A budgeting app to help you start investing
167,"Myhiddenfees!
",Find out how much you pay in bank fees
168,"MoneyGoat
",Social investment platform to discover and share investment opportunities
169,"Moonlio
",Track all of your cryptocurrency portfolios performance with automatic synchronisation
170,"Mihuru
",Book flights upfront for a fraction of the cost & pay later in installments
171,"CoinVest
",Crypto that makes your cents make you money
172,"Kriptomat
","The easiest way to buy, sell and store your favourite digital currencies"
173,"Satochi
",Invest your spare change in digital currencies
174,"Cashiya
",Personal Finance Personlized
175,"iExpenseOnline
",A 100% Free Personal Finance Tracker
176,"Moonitor
",Cryptocurrency Desktop App
177,"Veryfi (YC W17)
",A bookkeeper in your pocket
178,"LongevityApp
",Automatically boost your superannuation through your daily spending
179,"Bitsnapp
",Cryptocurrency portfolio app | Multi-exchange APIs and address tracking
180,"MoneyTracker.cc
",Personal finances tracking web app
181,"Debx
",Smart Credit Card Autopay that Rewards
182,"Goonder
",New app with an algorithm selecting the daily best investment opportunities
183,"Shufti Pro
",Perform quick and secure digital KYC in real-time
184,"CryptoProphet
","Receive unusual cryptocurrency price movement alerts, direct on your phone"
185,"Magnet Hash
",Let your users mine cryptocurrencies for you
186,"Returngenius
",A diversified algorithmic crypto fund investing in crypto and blockchain
187,"NorthOne
","Banking that builds your business, not your workload"
188,"Treasure
",Automated cash flow so you can see today & know tomorrow
189,"Apogee Crypto
",Data and Tools for the Cryptocurrency Enthusiast
190,"Finnest
",A next generation mobile banking platform for kids and teens
191,"Munt
",Accept multiple cryptocurrencies with just 5 lines of code
192,"Crypolio
",Cryptocurrency portfolio tracker
193,"Forex Trading for beginners
",#1 Forex trading learning application - trading game for beginners
194,"Kruma Currency Exchange
",Banking and Currency Exchange for Travelers ✈️💵💶💷
195,"Coinero
",Beautiful and easy to use cryptocurrency portfolio
196,"Techniquant
",Technical Analysis Quantified
197,"Monito Alerts
",Stop overpaying when sending money abroad
198,"HubX
",The leading platform for comparing cryptocurrency assets
199,"Exo Investing
",Personalised investing
200,"Coinseed
",Invest your spare change in cryptocurrencies
201,"Fintastico
",Your compass in the Fintech world
202,"Solume.io
","Real time event discovery, risk assessing & asset ranking for crypto markets"
203,"KoinOK
",Trading platform for cryptocurrency
204,"BenchmarkData.io
",Instantly provides a company growth report across top KPIs
205,"What if you invested in Crypto?
",Estimate the ROI of Cryptocurrencies.
206,"Cointelligent
",A Cryptocurrency tracker for everyone
207,"Bookvalu
",The all in one financial visibility platform for small business
208,"Kript.io
",A decentralized mobile app to invest in crypto assets
209,"Exeq
","Social spending, easy budgeting."
210,"TwelveZeros
",Collaborative Sales Forecasting Powered by AI
211,"WiseAlpha
",We give you freedom to invest into Blue Chips without a stockbroker
212,"Hoard
","Invest, trade, send and securely store cryptocurrency assets from one app"
213,"Scoop Markets
","Market moving news, before it breaks"
214,"Crypton
","Like Acorns, but for Cryptocurrency"
215,"CrowdCoin
",Creating a New Standard for Cryptocurrency
216,"Pitchstor
",Your Crowdfunding Platform
217,"InvestPlex
",Do-It-Yourself Investing Software
218,"Coined.Pro
",50+ Free Tools and Services for Crypto Junkies
219,"Richie
",Invest together with your friends
220,"Pitchstor
",Your Crowdfunding Platform
221,"InvestPlex
",Do-It-Yourself Investing Software
222,"Coined.Pro
",50+ Free Tools and Services for Crypto Junkies
223,"Richie
",Invest together with your friends
224,"StocksSignals
",An App that makes you smart stock investor
225,"LAMB
",Look After My Bills
226,"payorCRM
",Allow your B2B Customers to pay online through direct bank transfers and CC
227,"Invoice Template
",Create beautiful looking invoices in seconds
228,"Coinflash
",Rounds up your spare change and invests it into cryptocurrency
229,"Atomicard
",A new and unique way to manage your money and save more
